instrument,timeframe,bar_open_ts_utc,open,high,low,close,volume,source,source_file,imported_utc
EURUSD,M5,2026-05-15 09:30:00+00:00,1.16254,1.16263,1.16252,1.16252,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-15T14:27:25Z
EURUSD,M5,2026-05-15 09:35:00+00:00,1.16252,1.16256,1.16233,1.16255,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-15T14:27:25Z
EURUSD,M5,2026-05-15 09:40:00+00:00,1.1625,1.16264,1.16239,1.16263,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-15T14:27:25Z
EURUSD,M5,2026-05-15 09:45:00+00:00,1.16261,1.16261,1.16226,1.16234,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-15T14:27:25Z
EURUSD,M5,2026-05-15 09:50:00+00:00,1.16236,1.16263,1.16228,1.1626,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-15T14:27:25Z
EURUSD,M5,2026-05-15 09:55:00+00:00,1.16259,1.16285,1.16246,1.16283,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-15T14:27:25Z
EURUSD,M5,2026-05-15 10:00:00+00:00,1.1628,1.16304,1.1628,1.16302,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-15T14:27:25Z
EURUSD,M5,2026-05-15 10:05:00+00:00,1.16297,1.16346,1.16297,1.16343,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-15T14:27:25Z
EURUSD,M5,2026-05-15 10:10:00+00:00,1.16338,1.16355,1.16337,1.16353,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-15T14:27:25Z
EURUSD,M5,2026-05-15 10:15:00+00:00,1.16348,1.16361,1.16344,1.16355,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-15T14:27:25Z
EURUSD,M5,2026-05-15 10:20:00+00:00,1.16353,1.16401,1.16339,1.164,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-15T14:27:25Z
EURUSD,M5,2026-05-15 10:25:00+00:00,1.16396,1.16401,1.16362,1.16365,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-15T14:27:25Z
EURUSD,M5,2026-05-15 10:30:00+00:00,1.16374,1.16428,1.1637,1.16419,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-15T14:27:25Z
EURUSD,M5,2026-05-15 10:35:00+00:00,1.16405,1.16435,1.16401,1.16432,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-15T14:27:25Z
EURUSD,M5,2026-05-15 10:40:00+00:00,1.16426,1.16449,1.16421,1.16429,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-15T14:27:25Z
EURUSD,M5,2026-05-15 10:45:00+00:00,1.16428,1.16481,1.16419,1.1648,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-15T14:27:25Z
EURUSD,M5,2026-05-15 10:50:00+00:00,1.16479,1.16552,1.16439,1.16549,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-15T14:27:25Z
EURUSD,M5,2026-05-15 10:55:00+00:00,1.16548,1.16549,1.16508,1.16514,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-15T14:27:25Z
EURUSD,M5,2026-05-15 11:00:00+00:00,1.16523,1.16523,1.16424,1.16433,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-15T14:27:25Z
EURUSD,M5,2026-05-15 11:05:00+00:00,1.16449,1.16467,1.16417,1.16467,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-15T14:27:25Z
EURUSD,M5,2026-05-15 11:10:00+00:00,1.16466,1.16469,1.16436,1.16459,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-15T14:27:25Z
EURUSD,M5,2026-05-15 11:15:00+00:00,1.16461,1.16476,1.16444,1.16447,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-15T14:27:25Z
EURUSD,M5,2026-05-15 11:20:00+00:00,1.1645,1.16454,1.16414,1.1642,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-15T14:27:25Z
EURUSD,M5,2026-05-15 11:25:00+00:00,1.1642,1.16436,1.16403,1.16403,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-15T14:27:25Z
EURUSD,M5,2026-05-15 11:30:00+00:00,1.16405,1.16412,1.16381,1.16382,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-15T14:27:25Z
EURUSD,M5,2026-05-15 11:35:00+00:00,1.16384,1.16402,1.16365,1.16369,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-15T14:27:25Z
EURUSD,M5,2026-05-15 11:40:00+00:00,1.16375,1.16375,1.16345,1.16347,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-15T14:27:25Z
EURUSD,M5,2026-05-15 11:45:00+00:00,1.1635,1.16351,1.16312,1.16335,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-15T14:27:25Z
EURUSD,M5,2026-05-15 11:50:00+00:00,1.16327,1.16344,1.16324,1.16328,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-15T14:27:25Z
EURUSD,M5,2026-05-15 11:55:00+00:00,1.1633,1.16332,1.16301,1.16312,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-15T14:27:25Z
EURUSD,M5,2026-05-15 12:00:00+00:00,1.16307,1.16323,1.16302,1.1631,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-15T14:27:25Z
EURUSD,M5,2026-05-15 12:05:00+00:00,1.16309,1.16309,1.16283,1.16285,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-15T14:27:25Z
EURUSD,M5,2026-05-15 12:10:00+00:00,1.16288,1.16295,1.1627,1.16272,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-15T14:27:25Z
EURUSD,M5,2026-05-15 12:15:00+00:00,1.16271,1.16291,1.1627,1.16279,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-15T14:27:25Z
EURUSD,M5,2026-05-15 12:20:00+00:00,1.16283,1.16301,1.16272,1.16301,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-15T14:27:25Z
EURUSD,M5,2026-05-15 12:25:00+00:00,1.16299,1.16303,1.16291,1.16296,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-15T14:27:25Z
EURUSD,M5,2026-05-15 12:30:00+00:00,1.16298,1.16299,1.16282,1.16292,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-15T14:27:25Z
EURUSD,M5,2026-05-15 12:35:00+00:00,1.16288,1.1629,1.16222,1.16228,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-15T14:27:25Z
EURUSD,M5,2026-05-15 12:40:00+00:00,1.16238,1.1624,1.16212,1.16214,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-15T14:27:25Z
EURUSD,M5,2026-05-15 12:45:00+00:00,1.16217,1.16253,1.16196,1.16248,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-15T14:27:25Z
EURUSD,M5,2026-05-15 12:50:00+00:00,1.16241,1.16276,1.16235,1.16273,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-15T14:27:25Z
EURUSD,M5,2026-05-15 12:55:00+00:00,1.16272,1.16287,1.16268,1.16286,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-15T14:27:25Z
EURUSD,M5,2026-05-15 13:00:00+00:00,1.16284,1.16284,1.16238,1.16266,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-15T14:27:25Z
EURUSD,M5,2026-05-15 13:05:00+00:00,1.16252,1.1628,1.16251,1.16267,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-15T14:27:25Z
EURUSD,M5,2026-05-15 13:10:00+00:00,1.16273,1.16295,1.1626,1.16293,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-15T14:27:25Z
EURUSD,M5,2026-05-15 13:15:00+00:00,1.1629,1.16293,1.16274,1.16292,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-15T14:27:25Z
EURUSD,M5,2026-05-15 13:20:00+00:00,1.1629,1.16311,1.16282,1.16309,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-15T14:27:25Z
EURUSD,M5,2026-05-15 13:25:00+00:00,1.16304,1.16315,1.16274,1.16275,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-15T14:27:25Z
EURUSD,M5,2026-05-15 13:30:00+00:00,1.1628,1.16304,1.16259,1.16287,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-15T14:27:25Z
EURUSD,M5,2026-05-15 13:35:00+00:00,1.16287,1.16287,1.16255,1.16265,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-15T14:27:25Z
EURUSD,M5,2026-05-15 13:40:00+00:00,1.16261,1.1629,1.16261,1.16269,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-15T14:27:25Z
EURUSD,M5,2026-05-15 13:45:00+00:00,1.16281,1.16282,1.16212,1.16213,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-15T14:27:25Z
EURUSD,M5,2026-05-15 13:50:00+00:00,1.16216,1.16243,1.16201,1.16242,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-15T14:27:25Z
EURUSD,M5,2026-05-15 13:55:00+00:00,1.16238,1.16251,1.16222,1.1624,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-15T14:27:25Z
EURUSD,M5,2026-05-15 14:00:00+00:00,1.16245,1.16258,1.16225,1.16229,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-15T14:27:25Z
EURUSD,M5,2026-05-15 14:05:00+00:00,1.16234,1.16269,1.16227,1.16268,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-15T14:27:25Z
EURUSD,M5,2026-05-15 14:10:00+00:00,1.16267,1.16288,1.16225,1.16285,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-15T14:27:25Z
EURUSD,M5,2026-05-15 14:15:00+00:00,1.1628,1.16353,1.16264,1.16348,0.0,twelvedata_live_readonly_incremental,twelvedata_time_series_5min,2026-05-15T14:27:25Z
